'NR_ZAWODOW','NR_ZAWODNIKA','REZULTAT_MIN','REZULTAT_SEK','POZYCJA','PUNKTY_GLOBALNE','PUNKTY_KATEGORII','POZYCJA_KATEGORIA','POZYCJA_GLOBALNIE','LOKATA_W_BIEGU'
1,247,46,2,1,,18,33,,120
1,248,49,15,1,,6,45,,155
1,249,48,50,1,,43,8,,150
1,252,42,49,1,,26,25,,77
1,253,41,18,1,,44,7,,62
1,254,43,35,1,,35,16,,91
1,256,56,14,1,,14,37,,198
1,257,44,58,1,,31,20,,105
1,258,47,9,1,,13,38,,134
1,260,36,47,1,32,46,5,19,19
1,261,53,4,1,,40,11,,180
1,262,35,43,1,38,41,10,13,13
1,263,37,52,1,20,40,11,31,31
1,264,31,54,1,50,50,1,1,1
1,265,42,59,1,,37,14,,81
1,266,58,36,1,,,,,210
1,267,55,44,1,,,,,195
1,268,53,6,1,,4,47,,182
1,270,57,28,1,,12,39,,204
1,272,54,49,1,,17,34,,190
1,274,47,22,1,,12,39,,136
1,275,34,30,1,41,49,2,10,10
1,276,41,17,1,,28,23,,61
1,278,38,55,1,10,36,15,41,41
1,279,56,43,1,,,,,200
1,282,63,42,1,,,,,215
1,283,51,27,1,,1,50,,168
1,284,51,45,1,,9,42,,170
1,285,55,44,2,,,,,196
1,286,51,49,1,,8,43,,171
1,289,46,6,1,,28,23,,121
1,290,37,28,1,25,43,8,26,26
1,291,52,29,1,,6,45,,176
1,293,52,28,1,,7,44,,175
1,295,37,22,1,27,44,7,24,24
1,297,49,40,1,,5,46,,157
1,298,35,48,1,37,49,2,14,14
1,300,57,53,1,,,,,208
1,301,46,39,1,,16,35,,127
1,302,45,41,1,,29,22,,114
1,303,36,42,1,33,47,4,18,18
1,304,40,43,1,,40,11,,57
1,305,36,47,2,31,47,4,20,20
1,309,40,5,1,4,43,8,47,47
1,310,43,25,1,,35,16,,86
1,311,56,35,1,,13,38,,199
1,312,57,34,1,,11,40,,205
1,313,46,36,1,,27,24,,126
1,315,33,30,1,47,47,4,4,4
1,316,68,38,1,,7,44,,220
1,317,68,37,1,,,,,219
1,318,46,51,1,,14,37,,130
1,319,42,30,1,,25,26,,74
1,322,67,57,1,,8,43,,218
1,326,48,17,2,,24,27,,143
1,328,44,59,1,,20,31,,107
1,329,48,48,1,,9,42,,149
1,330,44,52,1,,24,27,,104
1,331,46,58,1,,15,36,,131
1,332,37,54,1,19,45,6,32,32
1,333,33,33,1,46,50,1,5,5
1,334,48,57,1,,7,44,,153
1,335,54,42,1,,2,49,,188
1,336,44,4,1,,46,5,,96
1,337,57,16,1,,16,35,,201
1,338,38,19,1,14,34,17,37,37
1,339,45,49,1,,22,29,,115
1,341,48,50,2,,42,9,,151
1,342,45,59,2,,19,32,,119
1,344,53,42,1,,39,12,,184
1,345,57,47,1,,38,13,,207
1,347,52,33,1,,18,33,,177
1,348,49,20,1,,19,32,,156
1,357,42,57,1,,39,12,,80
1,358,44,30,1,,32,19,,100
1,365,38,45,1,12,37,14,39,39
1,371,40,38,1,,41,10,,55
1,381,44,11,1,,32,19,,98
1,394,39,6,1,8,44,7,43,43
1,395,44,51,1,,30,21,,103
1,396,38,59,1,9,48,3,42,42
1,400,46,8,1,,15,36,,122
1,401,64,32,1,,13,38,,216
1,403,42,10,1,,42,9,,71
1,404,54,32,2,,,,,187
1,405,44,7,1,,34,17,,97
1,406,50,53,1,,19,32,,167
1,408,37,10,2,28,50,1,23,23
1,409,54,32,1,,3,48,,186
1,412,39,48,1,5,47,4,46,46
1,413,40,26,1,,32,19,,54
1,414,45,56,1,,20,31,,117
1,415,57,39,1,,10,41,,206
1,416,46,25,1,,17,34,,124
1,418,61,33,1,,40,11,,213
1,419,45,10,1,,19,32,,108
1,420,42,42,1,,24,27,,76
1,421,48,17,1,,25,26,,142
1,422,62,19,1,,,,,214
1,423,40,25,1,,46,5,,53
1,424,38,30,1,13,38,13,38,38
1,425,58,1,1,,14,37,,209
1,426,41,41,1,,30,21,,64
1,427,44,47,1,,31,20,,102
1,429,47,52,1,,25,26,,138
1,432,55,28,1,,16,35,,194
1,433,53,5,1,,,,,181
1,434,47,57,1,,24,27,,139
1,435,55,21,1,,1,50,,193
1,446,42,22,1,,40,11,,73
1,455,51,35,1,,47,4,,169
1,460,38,10,1,17,36,15,34,34
1,469,45,36,1,,49,2,,112
1,471,65,17,1,,39,12,,217
1,478,43,38,1,,50,1,,92
1,488,53,11,1,,44,7,,183
1,489,59,50,1,,41,10,,211
1,490,52,2,1,,46,5,,173
1,496,54,53,1,,49,2,,191
1,498,42,8,1,,27,24,,69
1,503,85,49,1,,48,3,,222
1,521,42,5,1,,28,23,,67
1,531,35,38,1,39,42,9,12,12
1,536,43,28,1,,37,14,,87
1,538,46,13,1,,27,24,,123
